id_producto,nombre_producto,descripcion_producto,precio_producto,cantidad_disponible
1,Samsung Galaxy S26 Ultra,Maecenas pulvinar lobortis est.,1299.99,91
2,iPhone 17 Pro Max,Integer tincidunt ante vel ipsum.,1199.99,37
3,ASUS ROG Zephyrus G16,Pellentesque eget nunc.,2499.99,7
4,MacBook Pro M5 Max,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,3499.99,12
5,Monitor LG UltraGear OLED 45 pulgadas,Curabitur gravida nisi at nibh.,1699.99,17
6,Teclado Custom Wooting 60HE,Maecenas tincidunt lacus at velit.,179.99,77
7,Audífonos Sony WH-1000XM5,Fusce consequat.,398,17
8,Parlante JBL Boombox 3 Wi-Fi,Phasellus in felis.,499.95,17
9,Tarjeta Gráfica NVIDIA RTX 5090,Praesent blandit lacinia erat.,1999.99,64
10,Consola PlayStation 5 Pro,Duis bibendum.,699.99,59
11,Tablet Samsung Galaxy Tab S10 Ultra,Pellentesque at nulla.,1199.99,95
12,Smartwatch Apple Watch Ultra 3,Nulla facilisi.,799,75
13,Cámara Sony Alpha a7R V,Sed vel enim sit amet nunc viverra dapibus.,3899.99,42
14,Disco Duro SSD NVMe 4TB,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",450,4
15,Router Wi-Fi 7 ASUS ROG,In hac habitasse platea dictumst.,549.99,57
16,Silla Gamer Herman Miller Embody,Duis aliquam convallis nunc.,1800,84
17,Impresora 3D Bambu Lab X1C,Phasellus in felis.,1449,57
18,Micrófono Shure SM7B,Curabitur in libero ut massa volutpat convallis.,399,48
19,Interfaz Focusrite Scarlett 2i2,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",189.99,59
20,Estabilizador DJI RS 4 Pro,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",869,11
21,Guitarra Gibson Les Paul Standard 50s,Suspendisse ornare consequat lectus.,2799,86
22,Guitarra Fender Stratocaster American Professional II,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1749.99,93
23,Bajo Fender Jazz Bass,In hac habitasse platea dictumst.,1349.99,23
24,Sintetizador Moog Subsequent 37,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1899,34
25,Batería Electrónica Roland TD-27KV2,In quis justo.,3499.99,89
26,Piano Digital Yamaha Clavinova CLP-845,Nulla mollis molestie lorem.,3999,41
27,Amplificador Fender Twin Reverb,Nunc purus.,1699.99,21
28,Saxofón Yamaha YAS-62,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3200,29
29,Violín Eléctrico Yamaha YEV-104,Nulla ac enim.,750,60
30,Pedalera Line 6 Helix,Phasellus id sapien in sapien iaculis congue.,1599.99,91
31,Ukelele Kala Elite Tenor,Duis ac nibh.,650,46
32,Trompeta Bach Stradivarius,Nam tristique tortor eu pede.,3500,18
33,Teclado Controlador Arturia KeyLab 88 MK3,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",999,6
34,Monitor de Estudio Yamaha HS8,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",399.5,67
35,Flauta Traversa Muramatsu EX,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,2800,23
36,Bajo Music Man StingRay Special,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2499,84
37,Guitarra Acústica Taylor 814ce,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,3999,80
38,Cajón Flamenco Meinl,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",250,81
39,Armónica Hohner Super Chromonica,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",160,73
40,Pedal Wah-Wah Dunlop Cry Baby,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",129.99,90
41,Drone DJI Mavic 4 Pro,Phasellus in felis.,2199,58
42,Webcam Logitech MX Brio 4K,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",199.99,10
43,Proyector LG CineBeam 4K,Pellentesque ultrices mattis odio.,2999,24
44,Smart TV Samsung Neo QLED 8K 75,Duis ac nibh.,4500,9
45,Mouse Logitech G Pro X Superlight 2,Morbi a ipsum.,159.99,25
46,Auriculares Sennheiser HD 800 S,Nulla justo.,1799.95,71
47,Tarjeta de Sonido Universal Audio Apollo Twin,Pellentesque at nulla.,999,76
48,Consola de Mezcla Allen & Heath SQ-5,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",5500,67
49,Lente Canon RF 85mm f/1.2 L,Suspendisse ornare consequat lectus.,2799,25
50,Estación de Trabajo Mac Studio M4 Ultra,Quisque id justo sit amet sapien dignissim vestibulum.,3999,82
